id,name,superseded_by,superseded_at_version,is_deprecated,deprecated_at_version,deprecation_replacement,notes
118,luaL_checkudata,,,,,,"luaL_checkudata(L, ud, tname) -> void*. Body matches lauxlib.c:124 exactly: lua_touserdata(L,1) → null check → lua_getmetatable(L,1) → zero check → lua_getfield(L, LUA_REGISTRYINDEX=0xFFFFD8F0, tname) → lua_rawequal(L,-2,-1) → zero check → lua_settop(L,-3) → return p; error tail: luaL_typerror(L,1,tname). LUA_REGISTRYINDEX immediate (0xFFFFD8F0) at 0x3993707 confirms identification. One caller (0x39979a0)."
119,CScriptSystem_vtable,,,,,,"CScriptSystem vtable RVA in .rdata. 69 slots from 0x3B8AF70..0x3B8B198. Slot [6] is 0x4D46E4 (CScriptSystem::ExecuteBuffer — the CryEngine-side caller of lua_pcall). Slots [12]/[13] both call lua_createtable (0x71F098). Slot [5]=ExecuteFile, [6]=ExecuteBuffer, [13]=CreateTable per a predecessor KCD project's IScriptSystem.h notes. 2 xrefs total: ctor 0x1448E60 and dtor 0x39AD63C."
120,CScriptSystem_ctor,,,,,,"CScriptSystem constructor. Writes vtable 0x3B8AF70 to [rcx], second vtable 0x3B8AF50 (4-slot base-class adjustor subobject) to [rcx+8]; zeroes member slots at +0x40/+0x48/+0x50/+0x60/+0x68; calls CryEngine helper at 0x3F820C; allocates internal buffers via 0x50B994 / 0x4FDA6C (CryMemoryManager wiring). Single xref site: 0x01448DFC."
121,CScriptSystem_Init,,,,,,"CScriptSystem::Init — the Lua-boot parent function. Sole caller of both lua_newstate (0x14492A8) and luaL_openlibs (0x1449600). Sequence: malloc(0x40)+ctor of helper struct → virtual call on parent system → lua_newstate → stores L on instance and globals → SETS storedebug=0 (CryEngine memory-save; overrides the default storedebug=1 from lua_newstate) → luaL_openlibs → 3 CryEngine extension lib registrars (0x1449698, 0x1449410, 0x1449584). The boot anchor for kcdx's post-Lua-init hook."
122,CScriptSystem_dtor,,,,,,CScriptSystem destructor. Writes vtable back to [rcx] and [rcx+8] then tears down owned subsystems. Calls lua_close (0x39989A4) at site 0x39AD6E2 when [rdi+0x10] (the stored lua_State*) is non-null.
123,lua_close,,,,,,lua_close(L). Body matches lstate.c source exactly: loads G(L)->mainthread via [L+0x20]+[g+0xB0] (the L = G(L)->mainthread reassignment); calls luaF_close (0x1565018) with rdx=L->stack; calls luaC_separateudata (0xFEABA8) with edx=1; resets L->ci=L->base_ci+L->base=L->top=L->ci->base+L->nCcalls=0; runs the do-while callallgcTM loop via luaD_rawrunprotected (0x71A6A8); tail-jumps to close_state (0x39987B4). Sole caller is CScriptSystem dtor at site 0x39AD6E2.
124,lua_replace,,,,,,"lua_replace(L, idx). Body-shape + cold-path string anchor verified. Hot path: cmp idx == LUA_ENVIRONINDEX (0xFFFFD8EF); call index2adr (0x71DD7C); cmp idx == LUA_ENVIRONINDEX again; setobj-from-L->top-1 to o; cmp idx < LUA_GLOBALSINDEX (upvalue check) + barrier call; L->top -= 16. Cold path: ""no calling environment"" string at .rdata RVA 0x4086D70 reached by cold-path lea+luaG_runerror tail-call (0x399614C). Barrier slow-path call to luaC_barrierf (0x3997070)."
125,luaL_ref,,,,,,"luaL_ref(L, t) -> int. Body matches lauxlib.c source: loads LUA_REGISTRYINDEX immediate (0xFFFFD8F0) into r15d; uses index2adr (0x71DD7C); uses internal helper 0x71DF0C for array indexing; reads freelist head from registry, copies stack-top value into freelist slot, returns the int ref. Discovered via CryEngine extension lib registrar at 0x14495C4 which calls it after lua_pushcclosure to store the C function in the registry."
126,close_state,,,,,,"close_state(L). Internal lstate.c helper called by lua_close at tail. Body: saves G(L) into rbp; calls luaF_close with L->stack; iterates string-table buckets freeing TString chains via 0x720338; frees buff/stack/base_ci via luaM_realloc_ (0x71E258); final tail-jmp via g->frealloc with rcx=g->ud, rdx=L, r8d=0x268 — CONFIRMS sizeof(LG)=0x268 in this build. NOT LUA_API."
127,luaC_barrierf,,,,,,"luaC_barrierf(L, o, v) — GC write barrier slow-path. Internal helper (NOT LUA_API). Reached from lua_replace's env-index barrier slow path at 0x228B6F7. Any shim stub that writes a GC pointer (lua_pushthread, lua_replace, lua_settable for GC values) must call this — without it incremental GC can free live objects."
128,luaF_close,,,,,,"luaF_close(L, level). Internal lfunc.c helper (NOT LUA_API). Called by lua_close to close all upvalues for the thread. Plugin stubs that need to close upvalues over a stack range (rare; mostly relevant if a plugin implements its own coroutine-like construct) can call this directly."
129,luaC_separateudata,,,,,,"luaC_separateudata(L, all). Internal lgc.c helper (NOT LUA_API). Called by lua_close with all=1 to separate userdata that have GC metamethods (so their __gc handlers can fire)."
130,luaM_realloc_,,,,,,"luaM_realloc_(L, block, osize, nsize) -> void*. Internal lmem.c reallocator (NOT LUA_API). Routes all Lua memory management through g->frealloc. Used by close_state for array frees; also by lua_load (which we already have at 0x13E14D8) for ZIO buffer management."
131,CCryPak_FOpen,,,,,,"ICryPak::FOpen(const char* pName, const char* szMode, unsigned nFlags) -> FILE*-like handle (null on miss). Engine-wide open-by-path resolver; all file opens (read+write) route through it. __fastcall member: rcx=this(ICryPak*), rdx=pName, r8=szMode, r9d=nFlags(u32). this = *(gEnv+0x50) (gEnv_pCryPak id 1207); also reachable as ICryPak vtable slot 36 (offset +0x120) — slot empirically probed against the binary (a WriteCachePak caller calls *(vtable+0x120); decompiled body is FOpen), not assumed from a CryEngine header. Vtable RVA 0x03A95FA8 via RTTI .?AVCCryPak@@ COL 0x1841758C0. Verified against the binary: body does path strlen + 0x800 cap + mode-string parse; a body-wide stack-arg analysis confirms 4-arg fastcall, flags 32-bit; 12+ call sites pass (path, mode rb/wb/ab/wt/w+b, flags); sibling slots +0x148 FWrite, +0x1B8 FClose."
132,gEnv_pCryPak,,,,,,"Static pointer slot gEnv->pCryPak (ICryPak*). RVA = gEnv (id 1010, 0x0492B800) + 0x50. Deref for the ICryPak instance; *pCryPak is the CCryPak vtable (RVA 0x03A95FA8); FOpen at vtable+0x120 (CCryPak_FOpen id 1206). Offset 0x50 confirmed against the real build: DAT_18492b850 is the global 350+ functions deref to call FOpen, == gEnv+0x50; consistent with seed-1010 verified offsets pGame+0x90 / pConsole+0xA8 and env.h field order. See docs/mod-loader-absorb.md."
133,ModManager_Select,,,,,,"wh::C_ModManager SELECTION driver (FUN_180da104c) — the mod-loader absorb hook target. __fastcall void(C_ModManager* this) — this-only, void return (a body-wide stack-arg analysis shows the prologue reads only [rcx+0x18/0x20/0x30/0x38] member fields, no incoming stack arg). Stage 1 of the engine mod-load: clears the enabled list (this+0x30..0x38) + scanned list (this+0x18..0x20), Steam-workshop scan, alphabetical mods/ scan (FUN_180da1178), per-mod manifest validate (FUN_18243e7b8, 0x70 stride), mod_order.txt select+order (FUN_180da1294); fallback enables all scanned in scan order if no mod_order.txt. Invoked synchronously from the ctor FUN_180da0eb0; reached by DIRECT call from CSystem::Init (FUN_1807a6c64 @ 0x1807A76FE), NOT in any vtable. LIVE-CONFIRMED against the binary: a detour at this RVA fired from the worker thread BEFORE CSystem::Init completed mod selection — worker-thread install is in time for the narrow takeover. See docs/mod-loader-absorb.md."
134,ModManager_ctor,,,,,,"wh::C_ModManager ctor/factory (FUN_180da0eb0). ABI: undefined8* (undefined8* outResult /*rcx*/, CSystem* sys /*rdx*/, CryString* modsDir /*r8*/) — 3-arg fastcall. Allocates a 0x68-byte C_ModManager, sets vptr=wh::C_ModManager::vftable, stores sys at +8 and modsDir at +0x10, zero-inits the mod lists (+0x18..+0x58), registers console cmd wh_mod_GenerateReport, then calls the SELECTION driver FUN_180da104c (id 3100). The object is stored into CSystem at the mod-manager registry slot (CSystem+0x2B30) so stage 2 + downstream find it. Reached by direct call from CSystem::Init @ 0x1807A76FE. Confirmed against the binary by a capstone E8-sweep (the Ghidra xref DB showed 0 refs — inner workers dispatch via member-fn-ptr std::function). See docs/mod-loader-absorb.md."
135,ModManager_Mount,,,,,,"wh::C_ModManager MOUNT driver (FUN_1804d9058) — stage 2 of the engine mod-load. ABI: void(C_ModManager* modMgr /*rcx*/, CryString* modsDir /*rdx*/) — 2-arg fastcall. Constructs a std::_Func_impl_no_alloc<lambda, void, wh::I_Mod const&> (the per-mod OpenPacks lambda FUN_181ddc920) then iterates the ENABLED wh::I_Mod list (modMgr+0x30) invoking the lambda per mod. The lambda gets the pak system via *(*(modMgr+8 /*=CSystem*/)+0x228) and calls OpenPacks (pak-mgr vtable slot +0x48 = slot 9, the wildcard plural mount) with (modDataDir, '<modPath>/*.pak', 0x10400, 0). Called once from CSystem::Init @ 0x1807A7F1C, later than the ctor (separated by unrelated engine init). The narrow takeover does NOT detour this — kcdx populates the enabled list in its order and lets this native MOUNT run verbatim (so localization/table-patch/mod.cfg passes are not silently dropped). Capstone E8-sweep confirmed. See docs/mod-loader-absorb.md."
136,ModManager_ReadModOrder,,,,,,"wh::C_ModManager mod_order.txt reader / selection driver (FUN_180da1294). ABI: undefined1(C_ModManager* this /*rcx*/) -> bool (1 if mod_order.txt opened, else 0). Opens <modsDir>/mod_order.txt via the shared CCryFile helper FUN_1804605bc at nFlags 0x10006; on hit reads it line-by-line (strips '#' comments, trims), matches each line against the scanned-mod records (this+0x18..0x20, stride 0x70), appends matches to the enabled list (this+0x30) IN FILE ORDER, logs '[Mod] %d mods enabled'. => mod_order.txt line order == enabled-list order == mount order. This is the INPUT the absorb subsumes: kcdx reads mod_order.txt as the vanilla baseline ordering, merges kcdx-plugins/ + [load_order] on top, and writes the resolved order back to BOTH load_order.toml and mod_order.txt. See docs/mod-loader-absorb.md."
137,ModManager_ParseManifest,,,,,,"wh::C_ModManager per-mod mod.manifest parse + version-gate (FUN_18243e7b8, image-base 0x180000000 + RVA 0x243E7B8). ABI: (modRecord* /*rcx*/). Reads mod.manifest (string @0x183DBE180), validates the modid + the <version>/game-version gate (version-string comparisons in sibling FUN_182440c6c). Owns error strings '[Mod] %s not found', 'Mod %s has invalid ModId', '[Mod] %s has bad format', '[Mod] %s has no version restrictions in manifest'. Populates the 0x70-byte I_Mod record string fields (path/id/name/description/author/version/date — see docs/mod-loader-absorb.md field map). The narrow takeover REUSES this (lets native SELECT run) so kcdx-built records get the engine's own manifest parse + real vtables for free; kcdx only re-orders + appends. Capstone-confirmed via string anchors. See docs/mod-loader-absorb.md."
138,ImodVtable_primary,,,,,,"The wh::I_Mod concrete-class PRIMARY vtable (record offset +0x00). NOTE: this is the ADDRESS OF THE VTABLE (a data RVA to write into a synthesized record's +0x00 slot), NOT a vtable index (cf. the 3000-band index convention). The mod-loader absorb builds I_Mod records from scratch and must set this at +0x00 so native MOUNT + downstream passes dispatch correctly. LIVE-VERIFIED against the binary across two boots: all 15 enabled records carry this identical vtable, and the VA-base resolves to this same RVA on both boots (ASLR-stable; two distinct load bases 0x7FF8FF470000 + 0x7FF8FF000000 both yield 0x46AAF00). The first 4 fn pointers read as real code. Single I_Mod concrete class confirmed (identical across all 15 records). See docs/mod-loader-absorb.md."
139,ImodVtable_subobject,,,,,,"The wh::I_Mod concrete-class SUB-OBJECT vtable (record offset +0x18, the second base of a multiple-inheritance layout). ADDRESS OF THE VTABLE (data RVA for the synthesized record's +0x18 slot), NOT a vtable index. Paired with ImodVtable_primary (id 3105); the absorb sets both when building a from-scratch I_Mod record. LIVE-VERIFIED against the binary, identical across all 15 records on two boots, ASLR-stable to RVA 0x46AAED8; fn pointers read as real code. See docs/mod-loader-absorb.md."
140,C_ModManager_vtable,,,,,,"The wh::C_ModManager concrete-class primary vtable base address. ADDRESS OF THE VTABLE (a data RVA written into the synthesized C_ModManager at +0x00), NOT a vtable index (cf. the 3000-band index convention). Same kind as ImodVtable_primary (3105) / ImodVtable_subobject (3106): a vtable base address, not a slot integer. 18 function pointers (18 contiguous reloc'd .text qwords before the Platform-string boundary; the earlier '8' was a runtime probe that read only the first 8 speculatively), all classified as code in both boots of the live ctor_probe (boot 1 + boot 2 of _research/init-cycle-recon, ctor_probe.cpp), ASLR-stable across two distinct load bases. Discovered by reading the C_ModManager ctor disassembly: lea rax, [rip + 0x2d01f67] at site 0x180da0ef9 -> 0x180da0ef9 + 7 + 0x2d01f67 = 0x183AA2E60; image base 0x180000000 -> RVA 0x3AA2E60. The mod-loader absorb work (""narrow takeover"" / replacement ctor) needs this to set [modmgr+0x00] correctly when building a C_ModManager from scratch. Verified against the binary."
141,WHGame_allocator,,,,,,"WHGame allocator. Called by the C_ModManager ctor at site 0x180da0ed4 to allocate the 0x68-byte heap block that becomes the C_ModManager (see _research/init-cycle-recon/FINDINGS.md). Body verified by capstone disassembly of the live DLL (2026-05-28): reads rcx as the size arg (mov rbx, rcx); calls an indirect allocator via a static fn-ptr slot (mov rax, [rip + 0x4fa3c42]; call rax); returns the allocated heap pointer in rax (passed through unchanged); does accounting (lock add/inc on rip-relative counters near 0x4ce62*). The replacement ctor in the absorb work uses this allocator so WHGame's own destructor (if it ever runs against a kcdx-built record) frees through the matching pair."
142,CryString_placement_construct,,,,,,"CryString placement-construct (refcount-aware copy ctor). Called by the C_ModManager ctor at site 0x180da0f09 with rcx = &[modmgr+0x10] (the in-place CryString destination) and rdx = a source CryStringT* on the stack. Body verified by capstone disassembly of the live DLL (2026-05-28): reads dest in rcx (mov rbx, rcx); reads the source's data ptr via [rdx]; steps back 0xC bytes to reach the source's CryString header (sub rcx, 0xc); validates via an internal helper (calls 0x1823ec8c8); on success, copies the source's data ptr to dest (mov [rbx], rax) AND atomically bumps the source header's refcount (lock inc [rax-0xc]) -- the canonical CryString copy-on-write copy-ctor. Returns rax = rbx (the dest). The replacement ctor uses this to construct the in-place 'mods' CryString at +0x10 from the stack-local CryString built by id 3110 (CryString_init_from_string)."
143,CryString_init_from_string,,,,,,"CryString init-from-cstr (named tmp_name_init in earlier recon work; the C_ModManager ctor uses it to build a stack-local CryString from the modsDir cstr arg before the placement-construct at id 3109 finalizes the in-place CryString at modmgr+0x10). Called by the ctor at site 0x180da0eed with rcx = a stack-local CryString dest and rdx = the modsDir cstr. Body verified by capstone disassembly of the live DLL (2026-05-28): reads rcx (mov rsi, rcx -- dest) and rdx (mov rdi, rdx -- source cstr); runs an inline strlen on rdi (or rbx, -1; inc rbx; cmp byte ptr [rdi+rbx], 0; jne); allocates len+0xD bytes for the CryString header + buffer + null terminator; writes the header (refcount=1, length, alloc-size); copies the cstr into the buffer; sets *dest = newbuf+0xC (the CryStringT pointer points past its header). Returns rax = rsi (the dest). See _research/init-cycle-recon/FINDINGS.md follow-up #4."
144,SaveGame,,,,,,"C_SaveGameManager::SaveGame — the kSaveGame lifecycle hook target. 7-arg __fastcall(self, filename, reason, flag_a, arg5, flag_b, description); the engine's save entry point, fired on every save. The 7-arg ABI is the corrected, live-confirmed shape (an earlier round under-counted it at 3 args, which corrupted saves); confirmed by the production save hook reading description and passing all 7 through to the trampolined original."
145,LoadGame_wrapper,,,,,,"The load-game wrapper — char __fastcall(self, playline, slot). The engine's load entry point; fires (twice per user-visible load) before the deserialization pass. Hooked in production to emit the PreLoadGame lifecycle message."
146,PostLoadGame,,,,,,"PostLoadGame — char __fastcall(self, arg2, arg3). The 'world is hydrated' signal, fired once per user-visible load after deserialization. Hooked in production to emit the PostLoadGame lifecycle message."
147,DeleteSavegame,,,,,,"DeleteSavegame — char __fastcall(self, slot, flags). The savegame-deletion entry point. Hooked in production to emit the DeleteGame lifecycle message."
148,SaveGameRecord_SlotResolver,,,,,,"The savegame-record slot resolver — ptr __fastcall(sub_object, playline_idx, slot_idx). A 23-byte leaf that maps (playline, slot) to a SaveGameRecord* (returned in rax); fires inside the load tail path (several times per user-visible load). Hooked in production to read the savegame basename from [record+0x80] and stamp the pending-load playline so the cosave subsystem attaches the right cosave."
